대한민국 경상남도 창원시 창원시 성산구 상남동 단정로98번길 8,"['35.2159388', '128.6885557']",37
대한민국 경상남도 창원시 성산구 남산동 601-25,"['35.2008506', '128.6979262']",61
대한민국 경상남도 창원시 성산구 웅남동 44-2,"['35.2180978', '128.6550131']",16
대한민국 경상남도 창원시 성산구 중앙동 중앙대로 51,"['35.2202587', '128.6763625']",6
대한민국 경상남도 창원시 성산구 대방동,"['35.2150992', '128.7105913']",43
대한민국 경상남도 창원시 성산구 사파동 140,"['35.2219592', '128.6936761']",53
대한민국 성산구 상남동 9-3번지 2층 201호 메르디앙빌딩 창원시 경상남도 KR,"['35.2230425', '128.6861593']",14
대한민국 경상남도 창원시 성산구 상남동 마디미로16번길 7,"['35.2230448', '128.6843106']",551
대한민국 경상남도 창원시 성산구 중앙동 151,"['35.2210978', '128.673678']",9
대한민국 경상남도 창원시 성산구 상남동 7-4,"['35.223711', '128.683344']",6
대한민국 경상남도 창원시 성산구 중앙동 중앙대로 81,"['35.2224963', '128.6779761']",34
대한민국 부산광역시 부산진구 부전동 241-14번지,"['35.1538814', '129.0588395']",3
대한민국 경상남도 창원시 성산구 내동 456-2,"['35.2174593', '128.6695118']",44
대한민국 경상남도 창원시 성산구 내동 456-21,"['35.21840359999999', '128.6682341']",33
대한민국 경상남도 창원시 성산구 중앙동 67-14,"['35.2245975', '128.6774553']",6
대한민국 성산구 상남동 21-6번지 701호 다선프라자 창원시 경상남도 KR,"['35.2203944', '128.6846882']",50
대한민국 경상남도 창원시 성산구 상남동 34-5 KR 번지 지하 1층,"['35.2202218', '128.6823613']",5
대한민국 경상남도 창원시 성산구 상남동 25,"['35.2214868', '128.6823438']",13
대한민국 경상남도 창원시 성산구 중앙동 95-2,"['35.2238753', '128.6778442']",28
대한민국 서울특별시 대방동,"['37.5125541', '126.9263706']",40
대한민국 부산광역시 수민동,"['35.1990705', '129.0934977']",158
대한민국 경상남도 창원시 성산구 중앙동,"['35.2197924', '128.6753445']",8
대한민국 경상남도 창원시 성산구 중앙동 98-1,"['35.2230143', '128.6770109']",96
대한민국 경상남도 창원시 창원시 성산구 사파동 원이대로773번길 27,"['35.2193185', '128.6972552']",117
대한민국 경상남도 창원시 성산구 성산동 49,"['35.2029056', '128.6783169']",19
대한민국 경상남도 창원시 성산구 남산동 837-3,"['35.2024732', '128.7003208']",12
대한민국 경상남도 창원시 성산구 중앙동 96-1,"['35.2235698', '128.678983']",83
대한민국 경상남도 창원시 성산구 남양동 대암로 56 롯데아파트,"['35.2137658', '128.7019255']",48
대한민국 경상남도 창원시 성산구 중앙동 98-3,"['35.2224033', '128.6767054']",36
대한민국 경상남도 창원시 성산구 반지동,"['35.2455948', '128.6703721']",125
대한민국 경상남도 창원시 성산구 성산동 54,"['35.1990449', '128.6789836']",1
대한민국 경상남도 창원시 성산구 가음동 26,"['35.2044058', '128.6993149']",59
대한민국 부산광역시 중구 중앙동4가,"['35.1051459', '129.0359528']",14
대한민국 경상남도 창원시 성산구 상남동 토월로43번길 14,"['35.2163721', '128.6813594']",73
대한민국 경상남도 창원시 성산구 반림동 20,"['35.2359294', '128.6733165']",19
대한민국 경상남도 창원시 성산구 가음동 21-1,"['35.2085164', '128.6972039']",21
대한민국 경상남도 창원시 성산구 상남동 30-3번지,"['35.2192012', '128.680805']",20
대한민국 서울특별시 중구 남대문로5가 6-15,"['37.5583968', '126.972637']",1
대한민국 성산구 사파동 87-5번지 1층 창원시 경상남도 KR,"['35.2210883', '128.7015565']",1
대한민국 경상남도 창원시 성산구 중앙동 57-17,"['35.2234629', '128.6764906']",1
대한민국 반림동,"['35.237709', '128.668092']",7
대한민국 경상남도 창원시 성산구 상남동 77-1,"['35.2234359', '128.6822564']",2
대한민국 경상남도 창원시 성산구 가음정동 가음정로 127,"['35.20537789999999', '128.6979539']",67
대한민국 경상남도 창원시 성산구 상남동 76-4,"['35.2215825', '128.680607']",3
대한민국 성산구 상남동 10-2번지 하버드빌딩 108호 창원시 경상남도 KR,"['35.2223062', '128.6867705']",4
대한민국 성산구 남양동 12번지 한성종합상가 5층 5호 창원시 경상남도 KR,"['35.2139242', '128.7004284']",94
대한민국 경상남도 창원시 성산구 성산동 53,"['35.1995171', '128.6777893']",18
대한민국 경상남도 창원시 성산구 가음동 11-2,"['35.2107991', '128.6930383']",1
대한민국 성산구 사파동 148번지 동양무궁화아파트 창원시 경상남도 KR,"['35.2204351', '128.6939968']",87
대한민국 경상남도 창원시 성산구 내동 456-17,"['35.2170982', '128.6704562']",14
대한민국 경상남도 창원시 성산구 상남동 19-8,"['35.2200981', '128.6849269']",42
대한민국 경상남도 창원시 성산구 대방동 371,"['35.2065446', '128.7087029']",51
대한민국 경상남도 창원시 성산구 가음정동 원이대로878번길,"['35.2095113', '128.6942208']",446
